subjectId,bal,gender,age,vdaq_1,vdaq_2,vdaq_3,vdaq_4,vdaq_5,vdaq_6,vdaq_7,vdaq_8,vdaq_9,vdaq_10,vdaq_11,vdaq_12,vdaq_13,vdaq_14,vdaq_15,vdaq_16,asq_1,asq_2,asq_3,asq_4,asq_5,asq_6,asq_7,asq_8,asq_9,asq_10,asq_11,asq_12,ovs_1,ovs_2,ovs_3,ovs_4,ovs_5,ovs_6,ovs_7,ovs_8,ovs_9,ovs_10,ovs_11,ovs_12,vdaq,asq_int,asq_ext,asq,ovs,ovs_salience,ovs_reactibility,ovs_monitoring,Task,Score
8,b,1,30,3,3,4,3,4,3,4,3,3,2,3,3,3,3,3,2,4,3,3,3,5,4,4,5,5,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3.0625,4.142857142857143,3.8,4,3.75,3.75,3.75,3.75,score_1,30
8,b,1,30,3,3,4,3,4,3,4,3,3,2,3,3,3,3,3,2,4,3,3,3,5,4,4,5,5,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3.0625,4.142857142857143,3.8,4,3.75,3.75,3.75,3.75,score_2,28
9,a,2,26,3,2,2,4,3,2,2,3,2,2,4,4,3,3,2,2,4,5,3,1,6,2,1,4,4,3,5,5,2,2,2,2,3,4,2,2,1,1,1,1,2.6875,3.2857142857142856,4,3.5833333333333335,1.9166666666666667,2,2.75,1,score_1,30
9,a,2,26,3,2,2,4,3,2,2,3,2,2,4,4,3,3,2,2,4,5,3,1,6,2,1,4,4,3,5,5,2,2,2,2,3,4,2,2,1,1,1,1,2.6875,3.2857142857142856,4,3.5833333333333335,1.9166666666666667,2,2.75,1,score_2,26
10,b,2,23,3,3,1,2,4,3,3,3,2,3,3,4,4,3,3,2,3,2,3,2,5,4,4,4,5,4,3,4,3,3,1,3,3,4,4,3,2,4,5,4,2.875,3.7142857142857144,3.4,3.5833333333333335,3.25,2.5,3.5,3.75,score_1,30
10,b,2,23,3,3,1,2,4,3,3,3,2,3,3,4,4,3,3,2,3,2,3,2,5,4,4,4,5,4,3,4,3,3,1,3,3,4,4,3,2,4,5,4,2.875,3.7142857142857144,3.4,3.5833333333333335,3.25,2.5,3.5,3.75,score_2,30
11,a,2,22,3,2,3,4,4,3,3,2,2,3,NA,3,4,4,2,2,4,4,3,4,6,5,2,5,4,4,4,3,3,NA,1,1,4,4,4,2,4,4,4,3,2.933333333333333,4.285714285714286,3.6,4,3.090909090909091,1.6666666666666667,3.5,3.75,score_1,25
11,a,2,22,3,2,3,4,4,3,3,2,2,3,NA,3,4,4,2,2,4,4,3,4,6,5,2,5,4,4,4,3,3,NA,1,1,4,4,4,2,4,4,4,3,2.933333333333333,4.285714285714286,3.6,4,3.090909090909091,1.6666666666666667,3.5,3.75,score_2,30
12,b,2,21,3,4,2,4,4,3,3,2,2,4,4,4,4,3,NA,2,5,4,3,2,4,4,2,6,5,5,4,5,2,2,1,NA,5,5,4,3,3,3,3,4,3.2,3.857142857142857,4.4,4.083333333333333,3.1818181818181817,1.6666666666666667,4.25,3.25,score_1,29
12,b,2,21,3,4,2,4,4,3,3,2,2,4,4,4,4,3,NA,2,5,4,3,2,4,4,2,6,5,5,4,5,2,2,1,NA,5,5,4,3,3,3,3,4,3.2,3.857142857142857,4.4,4.083333333333333,3.1818181818181817,1.6666666666666667,4.25,3.25,score_2,30
13,a,1,55,3,4,3,3,3,4,2,3,3,2,2,3,3,2,2,2,5,4,4,2,4,2,3,2,3,5,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2.75,2.857142857142857,4.4,3.5,1.5833333333333333,1.25,2,1.5,score_1,17
13,a,1,55,3,4,3,3,3,4,2,3,3,2,2,3,3,2,2,2,5,4,4,2,4,2,3,2,3,5,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2.75,2.857142857142857,4.4,3.5,1.5833333333333333,1.25,2,1.5,score_2,13
14,b,1,38,3,4,3,3,4,3,3,2,2,2,3,3,3,4,2,2,5,4,3,3,2,3,4,3,1,3,4,4,4,3,2,2,4,4,4,3,3,3,3,2,2.875,2.857142857142857,3.8,3.25,3.0833333333333335,2.75,3.75,2.75,score_1,28
14,b,1,38,3,4,3,3,4,3,3,2,2,2,3,3,3,4,2,2,5,4,3,3,2,3,4,3,1,3,4,4,4,3,2,2,4,4,4,3,3,3,3,2,2.875,2.857142857142857,3.8,3.25,3.0833333333333335,2.75,3.75,2.75,score_2,29
15,a,1,22,3,3,2,4,4,3,4,3,2,1,3,3,4,3,3,2,6,4,2,4,4,4,4,6,5,4,2,NA,5,4,3,3,4,3,2,3,4,NA,3,NA,2.9375,4.428571428571429,3.5,4.090909090909091,3.4,3.75,3,3.5,score_1,26
15,a,1,22,3,3,2,4,4,3,4,3,2,1,3,3,4,3,3,2,6,4,2,4,4,4,4,6,5,4,2,NA,5,4,3,3,4,3,2,3,4,NA,3,NA,2.9375,4.428571428571429,3.5,4.090909090909091,3.4,3.75,3,3.5,score_2,26
16,b,1,30,1,3,2,3,4,2,4,2,1,2,NA,4,4,3,2,2,2,5,3,2,5,5,4,6,4,4,3,4,5,4,2,3,5,4,4,4,2,2,4,2,2.6,4.428571428571429,3.2,3.9166666666666665,3.4166666666666665,3.5,4.25,2.5,score_1,20
16,b,1,30,1,3,2,3,4,2,4,2,1,2,NA,4,4,3,2,2,2,5,3,2,5,5,4,6,4,4,3,4,5,4,2,3,5,4,4,4,2,2,4,2,2.6,4.428571428571429,3.2,3.9166666666666665,3.4166666666666665,3.5,4.25,2.5,score_2,21
17,a,1,25,3,2,3,4,4,3,4,4,2,4,2,4,4,3,3,2,3,3,5,2,4,4,4,4,3,3,3,3,4,3,2,3,4,4,4,3,3,4,4,3,3.1875,3.4285714285714284,3.4,3.4166666666666665,3.4166666666666665,3,3.75,3.5,score_1,28
17,a,1,25,3,2,3,4,4,3,4,4,2,4,2,4,4,3,3,2,3,3,5,2,4,4,4,4,3,3,3,3,4,3,2,3,4,4,4,3,3,4,4,3,3.1875,3.4285714285714284,3.4,3.4166666666666665,3.4166666666666665,3,3.75,3.5,score_2,30
18,b,2,25,2,2,1,4,4,NA,4,1,4,3,1,2,3,4,2,2,4,2,6,2,5,2,2,2,2,4,4,4,2,2,2,3,4,5,5,4,2,3,3,3,2.6,2.4285714285714284,4.4,3.25,3.1666666666666665,2.25,4.5,2.75,score_1,28
18,b,2,25,2,2,1,4,4,NA,4,1,4,3,1,2,3,4,2,2,4,2,6,2,5,2,2,2,2,4,4,4,2,2,2,3,4,5,5,4,2,3,3,3,2.6,2.4285714285714284,4.4,3.25,3.1666666666666665,2.25,4.5,2.75,score_2,30
19,a,1,43,3,3,1,4,4,3,1,3,2,2,3,2,2,4,1,2,1,1,2,1,2,1,3,4,2,1,1,1,4,4,2,2,4,5,4,4,4,4,4,3,2.5,2,1.2,1.6666666666666667,3.6666666666666665,3,4.25,3.75,score_1,21
19,a,1,43,3,3,1,4,4,3,1,3,2,2,3,2,2,4,1,2,1,1,2,1,2,1,3,4,2,1,1,1,4,4,2,2,4,5,4,4,4,4,4,3,2.5,2,1.2,1.6666666666666667,3.6666666666666665,3,4.25,3.75,score_2,23
20,b,2,25,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,6,4,5,5,5,5,1,5,5,4,5,5,5,5,3,5,5,5,4,4,5,5,5,5,3.75,4.285714285714286,5,4.583333333333333,4.666666666666667,4.5,4.5,5,score_1,24
20,b,2,25,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,6,4,5,5,5,5,1,5,5,4,5,5,5,5,3,5,5,5,4,4,5,5,5,5,3.75,4.285714285714286,5,4.583333333333333,4.666666666666667,4.5,4.5,5,score_2,29
21,a,1,39,3,3,1,3,4,3,3,2,1,3,3,3,2,3,2,2,3,3,3,1,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,3,2,3,4,3,2.5625,3.4285714285714284,3,3.25,3.25,3.5,3.25,3,score_1,19
21,a,1,39,3,3,1,3,4,3,3,2,1,3,3,3,2,3,2,2,3,3,3,1,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,3,2,3,4,3,2.5625,3.4285714285714284,3,3.25,3.25,3.5,3.25,3,score_2,17
22,b,2,30,3,3,1,2,4,4,NA,3,3,2,NA,NA,3,2,NA,2,5,4,2,2,5,4,4,4,5,3,5,4,3,2,2,2,3,1,2,2,2,2,2,2,2.6666666666666665,4,3.8,3.9166666666666665,2.0833333333333335,2.25,2,2,score_1,21
22,b,2,30,3,3,1,2,4,4,NA,3,3,2,NA,NA,3,2,NA,2,5,4,2,2,5,4,4,4,5,3,5,4,3,2,2,2,3,1,2,2,2,2,2,2,2.6666666666666665,4,3.8,3.9166666666666665,2.0833333333333335,2.25,2,2,score_2,27
23,a,1,34,3,2,1,3,4,4,2,2,1,3,4,4,4,NA,2,2,5,5,5,2,4,3,5,5,5,4,5,6,4,2,4,3,4,4,3,2,4,4,5,4,2.7333333333333334,4.142857142857143,5,4.5,3.5833333333333335,3.25,3.25,4.25,score_1,24
23,a,1,34,3,2,1,3,4,4,2,2,1,3,4,4,4,NA,2,2,5,5,5,2,4,3,5,5,5,4,5,6,4,2,4,3,4,4,3,2,4,4,5,4,2.7333333333333334,4.142857142857143,5,4.5,3.5833333333333335,3.25,3.25,4.25,score_2,27
25,a,1,31,4,3,3,3,4,4,2,3,1,2,3,3,4,3,2,2,4,4,5,3,3,5,1,4,2,5,4,5,3,2,3,1,4,4,4,3,2,3,3,2,2.875,3.142857142857143,4.6,3.75,2.8333333333333335,2.25,3.75,2.5,score_1,27
