subjectId,score_1,score_2,bal,gender,age,vdaq_1,vdaq_2,vdaq_3,vdaq_4,vdaq_5,vdaq_6,vdaq_7,vdaq_8,vdaq_9,vdaq_10,vdaq_11,vdaq_12,vdaq_13,vdaq_14,vdaq_15,vdaq_16,asq_1,asq_2,asq_3,asq_4,asq_5,asq_6,asq_7,asq_8,asq_9,asq_10,asq_11,asq_12,ovs_1,ovs_2,ovs_3,ovs_4,ovs_5,ovs_6,ovs_7,ovs_8,ovs_9,ovs_10,ovs_11,ovs_12,vdaq,asq_int,asq_ext,asq,ovs,ovs_salience,ovs_reactibility,ovs_monitoring
20,24,29,b,2,25,4,2,4,4.0,4.0,3.0,4.0,4,3,4,4.0,4.0,4,4.0,4.0,4,6,4,5.0,5,5,5,1,5,5,4,5,5.0,5,5.0,3,5.0,5,5,4,4,5,5.0,5,5.0,3.75,4.285714285714286,5.0,4.583333333333333,4.666666666666667,4.5,4.5,5.0
21,19,17,a,1,39,3,3,1,3.0,4.0,3.0,3.0,2,1,3,3.0,3.0,2,3.0,2.0,2,3,3,3.0,1,4,4,4,4,4,3,3,3.0,3,4.0,4,3.0,4,3,3,3,2,3.0,4,3.0,2.5625,3.4285714285714284,3.0,3.25,3.25,3.5,3.25,3.0
22,21,27,b,2,30,3,3,1,2.0,4.0,4.0,,3,3,2,,,3,2.0,,2,5,4,2.0,2,5,4,4,4,5,3,5,4.0,3,2.0,2,2.0,3,1,2,2,2,2.0,2,2.0,2.6666666666666665,4.0,3.8,3.9166666666666665,2.0833333333333335,2.25,2.0,2.0
23,24,27,a,1,34,3,2,1,3.0,4.0,4.0,2.0,2,1,3,4.0,4.0,4,,2.0,2,5,5,5.0,2,4,3,5,5,5,4,5,6.0,4,2.0,4,3.0,4,4,3,2,4,4.0,5,4.0,2.7333333333333334,4.142857142857143,5.0,4.5,3.5833333333333335,3.25,3.25,4.25
25,27,28,a,1,31,4,3,3,3.0,4.0,4.0,2.0,3,1,2,3.0,3.0,4,3.0,2.0,2,4,4,5.0,3,3,5,1,4,2,5,4,5.0,3,2.0,3,1.0,4,4,4,3,2,3.0,3,2.0,2.875,3.142857142857143,4.6,3.75,2.8333333333333335,2.25,3.75,2.5
26,28,24,b,2,28,3,2,2,4.0,4.0,3.0,3.0,4,3,3,4.0,2.0,3,1.0,2.0,3,4,2,2.0,2,5,6,5,4,4,2,3,3.0,4,4.0,2,1.0,3,4,2,1,4,2.0,3,3.0,2.875,4.0,2.8,3.5,2.75,2.75,2.5,3.0
27,30,30,a,1,27,4,3,3,4.0,4.0,3.0,4.0,1,1,3,2.0,2.0,4,4.0,1.0,1,5,5,2.0,2,4,3,6,6,6,5,5,5.0,5,2.0,1,1.0,4,5,4,3,4,5.0,2,4.0,2.75,4.571428571428571,4.4,4.5,3.3333333333333335,2.25,4.0,3.75
28,23,18,b,2,32,3,2,2,1.0,3.0,3.0,2.0,2,3,3,3.0,3.0,4,3.0,2.0,1,2,1,1.0,2,6,2,4,5,5,1,1,3.0,3,4.0,2,2.0,2,2,4,2,3,5.0,5,2.0,2.5,3.5714285714285716,1.6,2.75,3.0,2.75,2.5,3.75
29,30,29,a,2,20,3,3,2,4.0,4.0,3.0,4.0,2,4,4,4.0,4.0,4,4.0,2.0,3,6,3,4.0,6,6,5,5,5,6,4,4,5.0,5,4.0,1,5.0,4,4,5,4,5,5.0,4,4.0,3.375,5.142857142857143,4.6,4.916666666666667,4.166666666666667,3.75,4.25,4.5
30,29,28,b,2,24,2,2,3,4.0,,,3.0,2,1,3,3.0,3.0,3,2.0,4.0,1,3,2,,2,5,2,2,4,4,2,2,2.0,2,4.0,2,2.0,2,2,3,1,3,3.0,3,1.0,2.5714285714285716,3.0,2.25,2.727272727272727,2.3333333333333335,2.5,2.0,2.5
31,7,11,b,1,24,3,3,4,,4.0,4.0,3.0,2,1,2,2.0,3.0,4,3.0,2.0,2,4,5,2.0,3,6,3,3,5,2,3,3,6.0,4,5.0,2,3.0,3,4,3,2,4,2.0,3,2.0,2.8,3.857142857142857,3.6,3.75,3.0833333333333335,3.5,3.0,2.75
