success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,subjectId,cond,bal,view_history,rt,stimulus,key_press,accuracy,recall,stimuli,set_size
,html-keyboard-response,68,1319980,0.0-2.0-0.3-0.20,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null,"<div style=""font-size:70px;"">S<br><br><br><br></div>",null,,,,
,html-button-operationspan,69,1321618,0.0-2.0-0.3-1.20,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,1635,"<div style=""font-size:46px;"">2 + 1 = 5<br><br><br><br></div>",,1,,,
,html-keyboard-response,70,1321622,0.0-2.0-0.3-2.20,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null, ,null,,,,
,operation-span-recall,71,1334167,0.0-2.0-1.3,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,12538,,,1,"K,N,H,L,S","K,H,L,S",4
,instructions,72,1336207,0.0-2.0-2.3,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,"[{""page_index"":0,""viewing_time"":2038}]",2038,,,,,,
,html-keyboard-response,73,1337211,0.0-2.0-0.4-0.21,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null,"<div style=""font-size:70px;"">V<br><br><br><br></div>",null,,,,
,html-button-operationspan,74,1339991,0.0-2.0-0.4-1.21,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,2777,"<div style=""font-size:46px;"">9 + 10 = 17<br><br><br><br></div>",,1,,,
,html-keyboard-response,75,1339995,0.0-2.0-0.4-2.21,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null, ,null,,,,
,html-keyboard-response,76,1341009,0.0-2.0-0.4-0.22,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,null,"<div style=""font-size:70px;"">N<br><br><br><br></div>",null,,,,
,html-button-operationspan,77,1342511,0.0-2.0-0.4-1.22,2,1,2022-05-10 07:54:57,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,2,a,,1499,"<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>",,1,,,
